Country;Minimum;Maximum;Center
Denmark;85.02;99.56;92.29
Netherlands;80.60;99.49;90.05
Germany;79.27;98.74;89.00
United Kingdom;79.36;98.04;88.70
Switzerland;76.87;99.48;88.17
Czech Republic;75.92;97.24;86.58
Greece;76.55;92.24;84.40
Canada;70.85;97.94;84.40
Sweden;71.11;95.76;83.44
United States;67.61;96.46;82.03
France;65.83;95.45;80.64
Italy;60.76;99.40;80.08
Finland;61.60;97.69;79.65
Spain;65.10;93.06;79.08
Belgium;61.00;93.91;77.45
Austria;57.61;92.81;75.21
Poland;49.78;98.92;74.35
China;52.52;93.76;74.14
Kazakhstan;56.01;91.61;73.81
Japan;50.55;97.00;73.77
Australia;54.77;92.09;73.43
Romania;53.56;92.29;72.93
Turkey;55.35;90.33;72.84
Mexico;57.89;86.46;72.12
Korea, Rep;45.99;90.53;68.26
Pakistan;32.80;99.45;66.13
Chile;32.91;98.55;65.73
South Africa;31.53;93.37;62.45
United Arab Emirates;30.19;93.76;61.98
Jordan;32.89;90.15;61.52
Brazil;31.95;90.61;61.28
Malaysia;29.22;90.80;60.01
India;30.29;89.03;59.66
Dominican Republic;29.31;89.20;59.26
Kenya;27.57;90.64;59.10
